250.00,0.2762
251.00,0.2669
252.00,0.2572
253.00,0.2483
254.00,0.2407
255.00,0.2334
256.00,0.2267
257.00,0.2201
258.00,0.2144
259.00,0.2100
260.00,0.2073
261.00,0.2059
262.00,0.2055
263.00,0.2048
264.00,0.2038
265.00,0.2018
266.00,0.1989
267.00,0.1955
268.00,0.1922
269.00,0.1897
270.00,0.1876
271.00,0.1860
272.00,0.1853
273.00,0.1848
274.00,0.1843
275.00,0.1842
276.00,0.1841
277.00,0.1838
278.00,0.1836
279.00,0.1828
280.00,0.1815
281.00,0.1802
282.00,0.1787
283.00,0.1769
284.00,0.1755
285.00,0.1740
286.00,0.1724
287.00,0.1709
288.00,0.1693
289.00,0.1674
290.00,0.1650
291.00,0.1626
292.00,0.1596
293.00,0.1566
294.00,0.1538
295.00,0.1512
296.00,0.1493
297.00,0.1479
298.00,0.1469
299.00,0.1469
300.00,0.1468
301.00,0.1476
302.00,0.1486
303.00,0.1499
304.00,0.1515
305.00,0.1530
306.00,0.1548
307.00,0.1566
308.00,0.1585
309.00,0.1608
310.00,0.1629
311.00,0.1649
312.00,0.1672
313.00,0.1692
314.00,0.1713
315.00,0.1732
316.00,0.1748
317.00,0.1759
318.00,0.1766
319.00,0.1770
320.00,0.1770
321.00,0.1766
322.00,0.1759
323.00,0.1751
324.00,0.1740
325.00,0.1731
326.00,0.1720
327.00,0.1710
328.00,0.1698
329.00,0.1685
330.00,0.1669
331.00,0.1650
332.00,0.1626
333.00,0.1602
334.00,0.1567
335.00,0.1530
336.00,0.1490
337.00,0.1446
338.00,0.1399
339.00,0.1354
340.00,0.1311
341.00,0.1268
342.00,0.1227
343.00,0.1195
344.00,0.1161
345.00,0.1131
346.00,0.1102
347.00,0.1073
348.00,0.1043
349.00,0.1014
350.00,0.0985
351.00,0.0956
352.00,0.0930
353.00,0.0907
354.00,0.0886
355.00,0.0868
356.00,0.0854
357.00,0.0844
358.00,0.0837
359.00,0.0829
360.00,0.0826
361.00,0.0821
362.00,0.0817
363.00,0.0811
364.00,0.0806
365.00,0.0795
366.00,0.0783
367.00,0.0768
368.00,0.0750
369.00,0.0732
370.00,0.0714
371.00,0.0697
372.00,0.0676
373.00,0.0655
374.00,0.0638
375.00,0.0623
376.00,0.0611
377.00,0.0601
378.00,0.0591
379.00,0.0584
380.00,0.0576
381.00,0.0569
382.00,0.0563
383.00,0.0559
384.00,0.0556
385.00,0.0554
386.00,0.0549
387.00,0.0544
388.00,0.0540
389.00,0.0536
390.00,0.0532
391.00,0.0528
392.00,0.0523
393.00,0.0520
394.00,0.0517
395.00,0.0515
396.00,0.0513
397.00,0.0511
398.00,0.0510
399.00,0.0510
400.00,0.0511
401.00,0.0514
402.00,0.0514
403.00,0.0517
404.00,0.0521
405.00,0.0525
406.00,0.0528
407.00,0.0531
408.00,0.0537
409.00,0.0543
410.00,0.0549
411.00,0.0556
412.00,0.0563
413.00,0.0571
414.00,0.0579
415.00,0.0589
416.00,0.0600
417.00,0.0613
418.00,0.0626
419.00,0.0640
420.00,0.0656
421.00,0.0673
422.00,0.0691
423.00,0.0707
424.00,0.0727
425.00,0.0746
426.00,0.0768
427.00,0.0787
428.00,0.0808
429.00,0.0828
430.00,0.0847
431.00,0.0867
432.00,0.0887
433.00,0.0908
434.00,0.0928
435.00,0.0949
436.00,0.0971
437.00,0.0996
438.00,0.1022
439.00,0.1050
440.00,0.1083
441.00,0.1119
442.00,0.1158
443.00,0.1203
444.00,0.1251
445.00,0.1304
446.00,0.1363
447.00,0.1425
448.00,0.1491
449.00,0.1562
450.00,0.1636
451.00,0.1712
452.00,0.1790
453.00,0.1863
454.00,0.1932
455.00,0.1997
456.00,0.2056
